interval_begin,zone_id,measurement_start,interval_id,volume,flow,speed
2100,10045,42986.58681,4_1to4,54,648,20.36912546
2400,10045,42986.59028,4_1to4,46,552,16.68049163
2700,10045,42986.59375,4_1to4,46,552,11.1422693
3000,10045,42986.59722,4_1to4,0,0,13.68960713
3300,10045,42986.60069,4_1to4,0,0,13.845336
3600,10045,42986.60417,4_1to4,0,0,14.33747396
3900,10045,42986.60764,4_1to4,0,0,12.91676752
4200,10045,42986.61111,4_1to4,49,588,15.12507003
4500,10045,42986.61458,4_1to4,0,0,15.89793805
4800,10045,42986.61806,4_1to4,0,0,16.00785764
5100,10045,42986.62153,4_1to4,117,1404,15.92063688
5400,10045,42986.625,4_1to4,0,0,16.24337696
5700,10045,42986.62847,4_1to4,0,0,15.99599929
6000,10045,42986.63194,4_1to4,14,168,16.25894087
6300,10045,42986.63542,4_1to4,0,0,16.18485929
6600,10045,42986.63889,4_1to4,0,0,15.88206378
6900,10045,42986.64236,4_1to4,38,456,16.10053248
0,10045,42986.5625,10_1to10,39,468,23.62070417
300,10045,42986.56597,10_1to10,11,132,29.01430226
600,10045,42986.56944,10_1to10,9,108,27.59720408
900,10045,42986.57292,10_1to10,0,0,22.20025251
1200,10045,42986.57639,10_1to10,0,0,14.22724532
1500,10045,42986.57986,10_1to10,20,240,15.98925867
1800,10045,42986.58333,10_1to10,39,468,14.34041456
2100,10045,42986.58681,10_1to10,0,0,15.07215745
2400,10045,42986.59028,10_1to10,15,180,14.85503369
2700,10045,42986.59375,10_1to10,24,288,13.78523691
3000,10045,42986.59722,10_1to10,58,696,13.4594026
3300,10045,42986.60069,10_1to10,0,0,14.99499533
3600,10045,42986.60417,10_1to10,22,264,13.61744206
3900,10045,42986.60764,10_1to10,49,588,14.54690425
4200,10045,42986.61111,10_1to10,28,336,15.54832705
4500,10045,42986.61458,10_1to10,33,396,14.59504934
4800,10045,42986.61806,10_1to10,12,144,14.89676021
5100,10045,42986.62153,10_1to10,15,180,15.01337887
5400,10045,42986.625,10_1to10,38,456,14.83506281
5700,10045,42986.62847,10_1to10,21,252,27.31791583
6000,10045,42986.63194,10_1to10,21,252,28.18998028
6300,10045,42986.63542,10_1to10,37,444,28.171274
6600,10045,42986.63889,10_1to10,0,0,27.92134088
6900,10045,42986.64236,10_1to10,11,132,27.57455086
